Date,open,high,low,close,returns,momentum,rsi,macd_line,macd_signal,macd_diff,atr,atr_pct,bb_width,hour,day_of_week,month
2015-09-02 00:00:00+01:00,0.5108874775314565,0.49853936769921425,0.508346798864002,0.5103046134918223,0.5116978501026942,0.5314769123409196,0.5463004356201917,0.49316296516998986,0.48476106277295605,0.49867840352789145,1.0,1.0,0.0,0.0,0.5,0.7272727272727273
2015-09-03 00:00:00+01:00,0.4782346315158783,0.47861081229021885,0.4549972774523159,0.47915181154865216,0.599874813561521,0.5314769123409196,0.6100748121479399,0.49316296516998986,0.48476106277295605,0.49867840352789145,0.9466540689157322,0.9593145048455598,0.0,0.0,0.75,0.7272727272727273
2015-09-04 00:00:00+01:00,0.4424119832234874,0.4427397926795429,0.45696333643742726,0.44288581000739935,0.37122288277180937,0.5314769123409196,0.5226786340163209,0.49316296516998986,0.48476106277295605,0.49867840352789145,0.9643181128888826,0.9161678328071519,0.0,0.0,1.0,0.7272727272727273
2015-09-07 00:00:00+01:00,0.45569083283403256,0.45071197509417615,0.46881650458297486,0.45337372325958825,0.3502651214697484,0.5314769123409196,0.434075594919487,0.49316296516998986,0.48476106277295605,0.49867840352789145,0.9370506299569562,0.9434957124469407,0.0,0.0,0.0,0.7272727272727273
2015-09-08 00:00:00+01:00,0.45569083283403256,0.47063910503248163,0.4806333880070879,0.45818510204806273,0.5345516524148873,0.4691523441829941,0.4617164233038288,0.49316296516998986,0.48476106277295605,0.49867840352789145,0.8769055412808459,0.9138426843014358,0.6529985214052252,0.0,0.25,0.7272727272727273
2015-09-09 00:00:00+01:00,0.4754041941282203,0.4626659723040554,0.4724225374908304,0.4756604789402008,0.5119919893743422,0.4693376948777585,0.47472780380709423,0.49316296516998986,0.48476106277295605,0.49867840352789145,0.8328321541714284,0.8536766713937312,0.6255057568649375,0.0,0.5,0.7272727272727273
2015-09-10 00:00:00+01:00,0.4800057519472736,0.49056813559837487,0.48911923851737704,0.4810260755905178,0.5620303383255656,0.4456074294966677,0.5219455646186406,0.49316296516998986,0.48476106277295605,0.49867840352789145,0.7912667559575645,0.8061859302908079,0.5983369705542402,0.0,0.75,0.7272727272727273
2015-09-11 00:00:00+01:00,0.5055060515278607,0.515362297630678,0.5215210173281024,0.509278230802229,0.5140801778198737,0.5361545478883878,0.5363856269490235,0.49316296516998986,0.48476106277295605,0.49867840352789145,0.76769266343748,0.7643881885430286,0.5940160567237696,0.0,1.0,0.7272727272727273
2015-09-14 00:00:00+01:00,0.5301066506890351,0.5272797077595026,0.534298013578602,0.5306743991654583,0.6040644340979368,0.6985155107768861,0.6090482896633614,0.49316296516998986,0.48476106277295605,0.49867840352789145,0.7545040115433633,0.7348597733196651,0.5885111806491738,0.0,0.0,0.7272727272727273
2015-09-15 00:00:00+01:00,0.5167952067106052,0.5105114208711719,0.5231251839599569,0.5160104183361183,0.5765777880803545,0.7255055124039727,0.658758319052919,0.49316296516998986,0.48476106277295605,0.49867840352789145,0.7225708554649132,0.717231853973985,0.5757008945797436,0.0,0.25,0.7272727272727273
