Date,open,high,low,close,returns,volatility,momentum,rsi,macd_line,macd_signal,macd_diff,stoch,atr,atr_pct,bb_width,hour,day_of_week,month,kst,squeeze,symbol,vol_regime,future_close,direction,Date
2015-08-31 00:00:00+01:00,0.34663364485126524,0.3414444442378939,0.3452136667835912,0.34647981625664825,0.7017409518742707,0.12105666265140233,0.2647492214832491,37.2301932276557,,,,51.30601187528772,1.3891305640115432,0.011489116380647174,0.06535917659168462,0,0,8,,0.0,USDJPY=X,0.0,120.05599975585938,0,2015-08-31 00:00:00+01:00
2015-09-01 00:00:00+01:00,0.34376619506593453,0.336782436109309,0.32339177340056136,0.34323903905856623,0.6160840212519488,0.08049696009712513,0.40523116573653506,39.54418461904637,,,,54.56827855320949,1.3269067909892343,0.011453062909535041,0.06638192523685352,0,1,9,,0.0,USDJPY=X,0.0,119.16400146484375,0,2015-09-01 00:00:00+01:00
2015-09-02 00:00:00+01:00,0.32124806246294413,0.32544430543601455,0.3263077204121976,0.32097540038093175,0.553678027136963,0.24522080792176873,0.600711586730931,38.47597989195139,,,,56.50887462661861,1.357413291828173,0.01095811200934493,0.06771052651266951,0,2,9,,0.0,USDJPY=X,0.0,119.40299987792969,0,2015-09-02 00:00:00+01:00
2015-09-03 00:00:00+01:00,0.3358281794425355,0.3297326638621252,0.3262105716180663,0.33499152996949344,0.4028490282690277,0.10878086141647143,0.5246288959192248,32.067332717801676,,,,39.82132784135866,1.3585980959344752,0.011338707207549254,0.07161917076685995,0,3,9,,0.0,USDJPY=X,0.0,120.08899688720703,0,2015-09-03 00:00:00+01:00
2015-09-04 00:00:00+01:00,0.32751751894401715,0.3204899458486774,0.3113710315150193,0.3265008544204311,0.6916994145224532,0.15073839762498695,0.4756032409517598,38.96029271305395,,,,50.552068387199355,1.3308411762750931,0.01126719253030046,0.07105334570687394,0,4,9,,0.0,USDJPY=X,0.0,120.27799987792969,0,2015-09-04 00:00:00+01:00
2015-09-07 00:00:00+01:00,0.31194924416124814,0.3115558141566763,0.3115006868395025,0.31204734662371325,0.5117377184558226,0.20466229097703711,0.3683397554176788,36.5414287727589,,,,44.41527557897971,1.3634241325037695,0.011085170078808501,0.07144746430151654,0,0,9,,0.0,USDJPY=X,0.0,120.61900329589844,1,2015-09-07 00:00:00+01:00
2015-09-08 00:00:00+01:00,0.3163879822707556,0.32178947844574113,0.3126185159668864,0.31591996102413744,0.463771052217428,0.1179479944228927,0.2829292894452838,32.80740709015694,-1.1305575868987319,,,33.40877413962013,1.355679355426212,0.011441577286291553,0.07373269674194112,0,1,9,,0.0,USDJPY=X,0.0,120.7959976196289,1,2015-09-08 00:00:00+01:00
2015-09-09 00:00:00+01:00,0.3269991532371346,0.3379682007372611,0.33218855962946026,0.32703552393718516,0.6105165657241035,0.2051282355284499,0.3146173061993591,34.73186403450025,-1.1555065695002043,,,38.036505720791716,1.3531308082403553,0.01135381319407532,0.07321110974391402,0,2,9,,0.0,USDJPY=X,0.0,120.36000061035156,0,2015-09-09 00:00:00+01:00
2015-09-10 00:00:00+01:00,0.329526340554404,0.33973879221296666,0.33060093079915887,0.3300980367553459,0.6686767653929193,0.1721825174758847,0.4648203505835761,40.04020517577547,-1.1071619190091297,,,51.331974714389524,1.3838355456051625,0.011267733458638816,0.06921196072628254,0,3,9,,0.0,USDJPY=X,0.0,120.43399810791016,0,2015-09-10 00:00:00+01:00
2015-09-11 00:00:00+01:00,0.33642762476403787,0.33408596173901395,0.3372753990331099,0.3356234907948452,0.6038014786461094,0.20435047566654968,0.41522758052707703,41.45304543655632,-1.0415906645894353,,,69.7154626269803,1.378918350348488,0.011505308926068103,0.06640545374927866,0,4,9,,0.0,USDJPY=X,0.0,120.52300262451172,0,2015-09-11 00:00:00+01:00
2015-09-14 00:00:00+01:00,0.3385335935956002,0.3315357250632198,0.3289969869041942,0.33849142099581053,0.6234174041161177,0.08624716639318607,0.4786128398017635,44.01617314294121,-0.9511446437150681,,,70.66684995532339,1.328209805199433,0.011432015790793533,0.06221467448912087,0,0,9,,0.0,USDJPY=X,0.0,120.0459976196289,0,2015-09-14 00:00:00+01:00
2015-09-15 00:00:00+01:00,0.33091952563975946,0.3289366598690924,0.3213180298026792,0.3314267368631081,0.60214553462367,0.14125944930807827,0.5579612858596295,45.353427896373795,-0.8553239161373938,,,77.04502027630765,1.2982665485013152,0.01099547858681374,0.05718106540361226,0,1,9,,0.0,USDJPY=X,0.0,120.0009994506836,0,2015-09-15 00:00:00+01:00
2015-09-16 00:00:00+01:00,0.33221556350393966,0.3297813684502089,0.33269074226375484,0.33262575643374315,0.5231892520965739,0.19005439576595118,0.5079118523025015,42.65079210099562,-0.8052838036341399,,,59.35612519145739,1.304747504962996,0.010786528264520943,0.05103263827833259,0,2,9,,0.0,USDJPY=X,0.0,120.49800109863281,0,2015-09-16 00:00:00+01:00
